*	* unknown
779192.05	-651292.36
779190.35	-651290.51
779187.76	-651290.63
779185.23	-651288.95
779182.91	-651286.86
779177.74	-651286.12
779174.37	-651286.19
779167.52	-651284.44
779164.00	-651282.17
779161.36	-651281.37
779160.06	-651279.50
779157.84	-651277.74
779155.51	-651276.76
779153.21	-651274.26
779150.56	-651270.48
779146.19	-651266.39
779142.91	-651263.78
779139.08	-651263.34
779135.49	-651262.47
779132.90	-651262.39
779130.22	-651263.19
779125.03	-651263.43
779121.55	-651264.58
779116.91	-651262.95
779114.20	-651263.33
779107.02	-651256.81
779105.54	-651253.80
779103.04	-651251.54
779100.12	-651250.29
779094.72	-651251.42
779092.67	-651252.94
779087.50	-651255.83
779081.19	-651251.25
779074.90	-651249.38
779071.24	-651248.18
779068.23	-651248.18
779064.42	-651245.99
779062.11	-651244.57
779057.53	-651243.37
779054.10	-651243.77
779050.43	-651243.26
779048.91	-651241.77
779043.87	-651241.66
779040.46	-651241.25
779036.70	-651240.10
779033.30	-651240.07
779030.14	-651238.89
779026.01	-651238.66
779018.34	-651241.94
779013.41	-651241.61
779010.22	-651241.51
779007.37	-651239.18
779005.00	-651236.22
779001.73	-651235.63
778999.42	-651234.45
778992.24	-651234.13
778989.74	-651234.45
778985.74	-651232.19
778980.04	-651231.81
778977.85	-651230.66
778974.03	-651230.50
778967.91	-651233.17
778966.18	-651234.83
778963.97	-651235.59
778960.60	-651235.65
778958.77	-651233.44
778955.97	-651228.70
778953.66	-651225.41
778951.08	-651223.86
778948.66	-651223.68
778946.58	-651221.15
778943.45	-651219.20
778939.78	-651217.29
778936.37	-651214.98
778932.17	-651213.44
778927.17	-651211.85
778921.84	-651209.35
778916.49	-651207.61
778910.56	-651205.49
778907.18	-651204.07
778905.13	-651202.42
778902.05	-651202.32
778899.58	-651201.86
778894.26	-651202.42
778888.50	-651205.26
778882.21	-651205.49
778877.33	-651204.31
778874.08	-651200.95
778871.70	-651195.45
778869.46	-651191.01
778869.17	-651185.73
778868.62	-651182.20
778867.05	-651178.85
778862.56	-651177.07
778860.29	-651177.47
778853.06	-651174.53
778847.21	-651173.47
778843.51	-651173.39
778837.00	-651175.93
778832.34	-651177.03
778827.25	-651175.45
778820.27	-651174.45
778814.98	-651173.88
778809.69	-651173.17
778803.59	-651173.22
778796.86	-651171.51
778792.49	-651169.03
778788.97	-651167.46
778785.42	-651166.82
778781.28	-651169.08
778777.36	-651172.61
778773.88	-651176.01
778769.29	-651179.15
778765.76	-651175.02
778759.22	-651171.89
778751.68	-651170.59
778747.48	-651169.56
778732.47	-651170.93
778727.07	-651170.29
778710.85	-651172.82
778704.79	-651169.74
778699.12	-651166.34
778694.55	-651163.25
778690.69	-651162.01
778687.85	-651165.11
778685.23	-651169.23
778680.74	-651167.84
778676.12	-651166.04
778672.31	-651162.93
778660.69	-651162.44
778655.58	-651158.82
778650.40	-651155.46
778644.82	-651154.84
778640.59	-651156.94
778635.84	-651161.64
778630.79	-651167.34
778626.87	-651174.01
778623.96	-651177.72
778618.40	-651180.66
778613.55	-651183.97
778609.40	-651188.15
778606.64	-651192.70
778600.49	-651195.42
778597.68	-651197.00
778593.53	-651199.93
778589.69	-651205.40
778588.62	-651212.49
778585.61	-651218.02
778582.92	-651231.16
778575.31	-651235.62
778567.59	-651236.69
778561.63	-651238.16
778556.13	-651242.14
778550.79	-651247.85
778544.46	-651250.74
778546.30	-651256.27
778541.47	-651260.86
778535.55	-651263.78
778531.22	-651263.83
778527.63	-651267.30
778523.36	-651274.55
778522.59	-651278.30
778514.71	-651281.87
778508.14	-651283.42
