*	* * *
1108854.66	-143550.32
1112010.46	-155810.74
1116182.07	-160882.79
*	* * *
492000.18	-154936.40
495122.03	-159695.67
501475.97	-158146.82
504941.99	-157296.54
*	* * *
504941.99	-157296.54
505115.33	-158297.25
506396.04	-160426.86
509669.32	-158406.67
515713.36	-154840.51
534110.42	-166439.06
537604.84	-162379.25
539859.75	-163571.96
545265.43	-179832.14
539051.60	-197651.38
549824.47	-198837.62
554449.20	-203137.47
554856.12	-213113.48
558787.28	-205730.39
566391.96	-203206.26
591036.34	-217495.22
605064.45	-208995.02
615597.40	-207885.75
615639.42	-202618.15
610827.27	-199657.07
611569.67	-197774.69
613956.42	-191710.17
624723.26	-194540.07
626285.62	-197482.97
630098.35	-204643.93
620523.92	-205707.51
616079.08	-211552.81
616208.43	-228509.51
613299.09	-232097.63
595829.69	-243625.70
594888.54	-249262.76
600084.64	-253301.30
604394.32	-257262.95
621464.10	-250412.67
629076.60	-258928.17
633755.58	-257509.98
641141.19	-261395.20
643157.31	-256399.23
637889.18	-254969.28
637094.34	-252152.97
648731.67	-248124.60
656766.26	-234451.76
677684.50	-230388.60
686381.68	-228819.60
690958.14	-221875.05
696486.82	-218187.88
701075.65	-213086.39
705195.65	-215558.78
708596.46	-212889.89
710669.77	-207833.29
709861.45	-201335.74
713749.32	-196889.13
730218.31	-205451.10
734690.67	-199310.35
742488.12	-199387.68
753078.53	-211731.21
756028.91	-201651.96
754130.91	-189408.52
761647.38	-171806.08
767456.59	-172033.30
769049.50	-178271.67
767302.75	-182544.74
776091.48	-193402.39
777906.05	-191016.10
776000.04	-182271.38
785012.36	-182047.58
783823.33	-193917.53
790854.15	-206463.22
776887.98	-208553.38
766613.62	-219617.66
766303.43	-224118.85
777175.79	-233682.63
799689.53	-225130.26
806995.87	-235998.28
806260.57	-240461.45
800328.37	-243161.78
807371.95	-255543.70
808891.57	-253913.19
808526.13	-246393.90
815241.85	-246148.49
815564.39	-239935.15
829400.29	-250420.27
*	* * *
350249.13	-335170.24
